id,assertion,counterexample,target_api,authoritative_observation,aggregation,evidence_path,close_condition
SYNC-08,A successful update fixes current state selection bases weights merge result and outer result then makes authority and consumption effective at one visibility boundary,Consumption advances before visibility or a late proposal mutates the frozen set,AtomicGlobalCommitStore.commit,old current identity frozen commit facts new current identity and decoded frontier,all injected failures exact retry and twenty formal commits,runtime_runs/S1-11/formal-l2/analysis/global-commit-summary.json,pre-replace failures retain old authority and eligibility while successful replacement exposes exactly the frozen commit and advanced frontier
GLOBAL-02,Parameters outer optimizer state next version selected contribution facts fixed frontiers policy identity and integrity metadata are one logical publication unit,Parameters and outer state or frontier are independently published latest objects,encode_commit_envelope and AtomicGlobalCommitStore.commit,fresh current-slot reader decodes and validates the complete compound state,all fault points concurrent reads and formal commits,runtime_runs/S1-11/formal-l2/analysis/global-commit-summary.json,every read is one complete old or new authority and no independent latest object exists
GLOBAL-03,Every new commit advances fragment version and outer update count by exactly one and exact duplicate retry is idempotent,A caller skips a version rolls back or overwrites one next version with different content,AtomicCommitRequest and AtomicGlobalCommitStore.commit,expected current next version content identity and loaded successor identity,twenty commits version conflict family and every injected retry,runtime_runs/S1-11/formal-l2/analysis/global-commit-summary.json,versions are contiguous exact retries preserve identity and every conflicting same-version or non-plus-one request fails
FS-03,One small fixed current reference names the complete compound fragment authority,Readers infer state by pairing independent latest parameter optimizer or frontier files,AtomicGlobalCommitStore.load_fragment and current_slot,current-record path payload identity and forbidden visibility namespace spy,every reader observation restart and history-loaded fixture,runtime_runs/S1-11/formal-l2/analysis/global-commit-summary.json,one current record read reconstructs all authority fields and no global head or independent latest slot is used
INV-03,A reader sees only old complete or new complete parameters optimizer state version frontiers and policy identity,A publication interruption exposes a mixed old and new tuple,AtomicGlobalCommitStore.commit and load_fragment,canonical complete authority identity classified by a fresh reader,each injection point four replays plus eight concurrent reader threads,runtime_runs/S1-11/formal-l2/analysis/global-commit-summary.json,zero partial mixed corrupt or unknown authority observations
INV-05,A proposal participates in at most one successful outer update and one learner contributes at most once per update,A failed publication consumes a proposal or duplicate retry advances consumption twice,AtomicGlobalCommitStore.commit,selected learner facts and fixed decoded frontiers after failure success and retry,every selected proposal failure replay duplicate retry and reselection attempt,runtime_runs/S1-11/formal-l2/analysis/global-commit-summary.json,failed commits leave proposals eligible successful commits reject them and exact retry changes neither version nor frontier
PROP-06,Each learner fragment authority stores only its last consumed sequence and base version and same-base later sequence is rejected,An unbounded consumed history grows or a newer sequence on an already consumed base is accepted,CommitEnvelope consumption frontiers and proposal eligibility,fixed frontier entry count sequence/base values and eligibility rejection reason,twenty updates restart and 10000 synthetic consumption advances,runtime_runs/S1-11/formal-l2/analysis/global-commit-summary.json,frontier cardinality stays learner-count and same-base later proposals reject as consumed_base
A-GLOBAL-01,Parameters and outer optimizer state are jointly visible with frontiers and policy metadata,Interrupting between separately published parameter and optimizer files yields a mixed state,AtomicGlobalCommitStore.commit,fault-injection reader classification and content identities,all four publication boundaries and concurrent readers,runtime_runs/S1-11/formal-l2/analysis/global-commit-summary.json,only old complete or new complete compound states are observed
A-GLOBAL-02,Per-fragment version is monotonic and increases exactly one per successful publication,A version jump duplicate increment rollback or same-version conflict succeeds,AtomicGlobalCommitStore.commit,loaded version outer update count base identity and update identity,twenty formal commits exact retries and conflict matrix,runtime_runs/S1-11/formal-l2/analysis/global-commit-summary.json,formal versions are contiguous one through twenty and all invalid transitions fail closed
A-PROP-03,Repeated polling or exact retry cannot consume the same proposal twice and failed publication consumes none,Frontier is written before visibility causing retry to discard the only proposal,AtomicGlobalCommitStore.commit plus select_candidates,eligibility before failure after failure after success and after exact retry,every injected pre-replace failure selected proposal and post-replace retry,runtime_runs/S1-11/formal-l2/analysis/global-commit-summary.json,selected proposals remain eligible after failed publication become ineligible only with new authority and never cause a second version advance
