id,assertion,counterexample,target_api,authoritative_observation,aggregation,evidence_path,close_condition
DISC-01,S_max is a frozen nonnegative policy value and zero uses the generic staleness path,a fresh-only equality branch bypasses the general bounds,select_candidates,decision result and code-path search,all shared and boundary vectors,runtime_runs/S1-05/formal-l2/stdout/pytest.log,S_max zero and positive values execute the same eligibility function with no fresh-only implementation
DISC-02,Stage 1 proposal identity eligibility weighting and fixed frontiers are all present,one of the five stale-ready interface elements is missing,ProposalStore and select_candidates,decoded proposal policy weights and frontier summaries,exact schema and transition inventory,runtime_runs/S1-05/formal-l2/analysis/proposal-summary.json,all five interface elements validate in one frozen protocol
LEARN-07,Proposal payload is a complete local parameter value bound to base version and content identity,a delta or payload without an exact base identity is accepted,ProposalStore.publish,decoded compound payload and visibility record,one-to-one metadata and payload binding,runtime_runs/S1-05/formal-l2/analysis/proposal-summary.json,every visible proposal carries complete local bytes plus exact base version and identity
PROP-01,Proposal identity includes run model map learner fragment sequence base progress snapshot and payload integrity fields,a wrong identity or progress field reaches selection,decode_proposal and select_candidates,strict decoded schema and deterministic rejection matrix,all required fields and corruption cases,runtime_runs/S1-05/formal-l2/stdout/pytest.log,strict schema validation and identity rejection cover every required field
PROP-03,Discovery reads one fixed latest slot per frozen learner and fragment without history scans,discovery lists payload history or its read count grows with historical objects,ProposalStore.discover_latest,CountingStorageBackend reads over one complete discovery interval,compare exact M times F reads before and after 10000 unrelated objects,runtime_runs/S1-05/formal-l2/analysis/proposal-summary.json,both discovery intervals issue exactly M times F reads and no directory scan
PROP-04,Latest references advance only to larger sequence and visible proposal content is immutable,a delayed old completion replaces a newer visible proposal,ProposalStore.publish,final fixed-slot sequence and content identity after reordered completion,all reordered and same-sequence cases,runtime_runs/S1-05/formal-l2/analysis/proposal-summary.json,delayed old publication is rejected and final latest remains the highest complete sequence
PROP-05,At most one candidate per learner is selected and quorum counts distinct learners,duplicate proposals from one learner form quorum or both contribute,select_candidates,selected learner identities and deterministic rejections,shared vectors plus permutation property,runtime_runs/S1-05/formal-l2/stdout/pytest.log,selected learners are unique for every ordering and duplicate learners cannot satisfy quorum
PROP-06,Each frozen learner and fragment has only last consumed sequence and base version and same-base replacement is ineligible,frontier grows with history or a higher sequence on consumed base is accepted,ConsumptionFrontiers and commit_consumption,fixed entry count and rejection reason after repeated polling,shared vectors and 10000 commits,runtime_runs/S1-05/formal-l2/stdout/pytest.log,frontier cardinality stays M and repeated or same-base proposals reject
PROP-07,Eligibility validates identity integrity monotonic frontiers positive bounded progress retained base and generic staleness,a future missing wrong or over-progress proposal is selected,select_candidates,deterministic rejection reason for every invalid dimension,complete boundary matrix,runtime_runs/S1-05/formal-l2/stdout/pytest.log,all invalid dimensions fail closed and valid candidates alone remain
STALE-01,Staleness is exactly current version minus base version with generic zero through S_max bounds,base equality is hardcoded or future and too-stale boundaries are reversed,select_candidates,per-candidate staleness and rejection reason,shared vectors and S_max boundary property,runtime_runs/S1-05/formal-l2/stdout/pytest.log,fresh stale future and over-window cases match the normative definition
STALE-05,Weights normalize tokens divided by one plus lambda_s times staleness,fresh has a discount or stale weight increases with staleness,compute_candidate_weights,reported raw mass staleness tokens and normalized weight,shared oracle values and monotonic property,runtime_runs/S1-05/formal-l2/stdout/pytest.log,weights are nonnegative sum to one fresh is undiscounted and stale mass is monotonic nonincreasing
A-PROP-01,An interrupted proposal payload is not discoverable until a complete visibility record exists,a reader returns a payload-only or partial proposal,ProposalStore.load_latest,cross-node partial-publication observation,one injected interruption and completed retry,runtime_runs/S1-05/formal-l2/analysis/proposal-summary.json,remote reader observes missing before completion and only the complete retry afterward
A-PROP-02,One learner contributes at most one selected proposal,duplicate proposals from one learner are selected together,select_candidates,selected learner cardinality versus selected proposal cardinality,all shared vectors and permutations,runtime_runs/S1-05/formal-l2/stdout/pytest.log,every selection has equal selected and distinct-learner counts
A-PROP-03,A consumed proposal cannot be selected by repeated polling,the same sequence or a new sequence on its consumed base becomes eligible,commit_consumption and select_candidates,frontier transition and repeated rejection trace,shared once-only vectors plus fixed-size stress,runtime_runs/S1-05/formal-l2/analysis/proposal-summary.json,successful commit advances once and repeated polling selects nothing
