id,assertion,counterexample,target_api,authoritative_observation,aggregation,evidence_path,close_condition
FRAG-01,Every fragment contains only complete logical layers,a layer parameter identity appears in two fragments,build_fragment_map,fragment layer intervals and parameter identities,exact set partition,runtime_runs/S1-02/formal/analysis/fragment-map.json,no logical layer or parameter identity is split
FRAG-02,Fragments are ordered contiguous nonempty layer intervals,a gap overlap or empty interval is emitted,validate_fragment_map,exclusive layer cut indices,adjacent interval boundary equality,runtime_runs/S1-02/formal/analysis/fragment-map.json,F intervals cover 0 through L without gaps overlaps or empties
FRAG-03,Production requires 1 less than F less than L while oracle mode only adds F equals 1,F is zero one in production or at least L,build_fragment_map,validated fragment and layer counts,exact integer bounds,runtime_runs/S1-02/formal/stdout/pytest.log,all invalid counts reject and development F equals 1 is labeled nonproduction
FRAG-04,Balance uses synchronization bytes at the frozen sync dtype,a layer-count partition wins despite worse bytes,build_fragment_map,per-layer and per-fragment sync bytes,exact integer byte sums,runtime_runs/S1-02/formal/analysis/exhaustive-summary.json,weighted counterexamples match brute force
FRAG-05,Objective order is minimum maximum bytes then minimum scaled total deviation then lexicographically earliest cuts,a greedy or unstable tie implementation selects a worse tuple,build_fragment_map,objective tuple max bytes scaled deviation cuts,lexicographic tuple minimum,runtime_runs/S1-02/formal/analysis/exhaustive-summary.json,DP objective equals exhaustive combinations for every bounded case
FRAG-06,An oversized logical layer remains whole and may form its own fragment,balancer splits the layer or hides its dominant size,build_fragment_map,layer and fragment byte summaries,identity-preserving interval comparison,runtime_runs/S1-02/formal/stdout/pytest.log,oversized fixture keeps the layer whole in a singleton interval
FRAG-07,The map and digest are frozen before runtime and cannot be repartitioned,map fields mutate after construction or repeated builds differ,FragmentMap,immutable dataclasses and canonical digest,exact digest equality across processes,runtime_runs/S1-02/formal/analysis/digest-repetitions.json,frozen mutation fails and repeated process digests are identical
FRAG-08,The report includes ordered layer parameter byte misc tied fragment and balance summaries,a digest-only file omits ownership or ratio evidence,write_fragment_map_report,canonical report fields,required-field and exact-sum checks,runtime_runs/S1-02/formal/analysis/pythia-160m-fragment-map.json,real report is complete and internally consistent
A-FRAG-01,Every trainable parameter identity belongs to exactly one fragment,a tied misc or ordinary parameter is omitted or duplicated,validate_fragment_map,registry and fragment parameter identity sets,multiset equality,runtime_runs/S1-02/formal/analysis/pythia-160m-fragment-map.json,fragment identity union equals registry identities with count one
A-FRAG-02,All fragments are contiguous and nonempty,fragment boundaries overlap skip or create an empty region,validate_fragment_map,ordered start and exclusive end indices,exact full interval cover,runtime_runs/S1-02/formal/analysis/exhaustive-summary.json,all generated maps pass independent interval checks
A-FRAG-03,The maximum fragment bytes is optimal under the constraints,a locally greedy cut has a larger maximum than an available partition,build_fragment_map,DP objective and independent brute-force optimum,exact minimum over all cut combinations,runtime_runs/S1-02/formal/analysis/exhaustive-summary.json,exhaustive and randomized bounded cases match and real model summary is reported
