id,assertion,counterexample,target_api,authoritative_observation,aggregation,evidence_path,close_condition
GLOBAL-05,Evaluation freezes one ordered fragment version vector plus content and authority identities before loading exact immutable payloads,Evaluator loads fragment zero latest then chases newer latest for fragment one,FrozenEvaluationPlan.capture and materialize_evaluation_snapshot,manifest vector identities named payload checksums and latest-read spy,concurrent successor publications after capture,runtime_runs/S1-12/formal-l2/analysis/profile-a-summary.json,loaded vector content identities and bytes equal the capture while current advances and load performs zero current reads
PROG-01,Every fragment owns an independent outer update count,A single scalar global step is copied to every fragment regardless of commits,ProfileAProgressTracker.record_fragment_commit,per-fragment before and after counters,all numeric and real Profile A commits,runtime_runs/S1-12/formal-l2/analysis/profile-a-summary.json,only the committed fragment increments and every counter equals its authority version
PROG-02,Global cycle is the minimum per-fragment outer update count,Global cycle uses maximum sum or fastest fragment,ProfileAProgressReport.global_cycle,full fragment count vector,each asymmetric prefix and final fifty by fifty vector,runtime_runs/S1-12/formal-l2/analysis/profile-a-summary.json,reported global_cycle equals an independent minimum recomputation at every trace row
PROG-03,Stopping uses a frozen global-cycle wallclock compute token or FLOP budget and never fastest learner local steps,Fast learner reaching a local-step threshold stops the system before a slow fragment cycle advances,FrozenStopPolicy.evaluate,policy identity stop reason budgets and learner step vector,target-cycle plus every alternate budget unit test,runtime_runs/S1-12/formal-l2/analysis/profile-a-summary.json,target stop occurs at global_cycle fifty and changing only fastest local steps cannot trigger it
PROG-04,Reports keep learner local steps and input tokens separate from fragment outer counts global cycle accepted tokens fresh and stale counts,One field named global_step conflates all progress,ProfileAProgressTracker.report,typed learner rows fragment rows and derived global_cycle,every numeric commit plus four real learner reports,runtime_runs/S1-12/formal-l2/analysis/profile-a-summary.json,all required counters reconcile independently and stale accepted count is zero under Profile A
REPORT-02,The acceptance run makes no quality or efficiency comparison unless matched compute communication or tokens is true,An unmatched runtime trace claims a quality or efficiency benefit,ComparisonBasis,matched flags and claim classification,formal manifest and summary,runtime_runs/S1-12/formal-l2/analysis/profile-a-summary.json,all matched flags are false and the claim is protocol/runtime acceptance only
A-ALG-01,The complete readiness merge atomic-commit path matches the independent oracle at one update and across fifty consecutive updates,Production trace copies expected output or bypasses proposal readiness and commit,ProfileAFragmentExecutor.execute_next,raw current and four raw proposals independently decoded by analyzer and Checker,two fragments times fifty contiguous updates,runtime_runs/S1-12/formal-l2/analysis/profile-a-summary.json,single and maximum fifty-update relative L2 are at most 1e-6 and last-ten error does not amplify
A-EVAL-01,Evaluation manifest immutably binds the frozen vector content identities and payloads,Manifest records only versions and evaluator later resolves latest content,materialize_evaluation_snapshot and load_evaluation_snapshot,canonical manifest identity per-fragment checksum and current-read counter,concurrent post-capture updates plus restart load,runtime_runs/S1-12/formal-l2/evaluation/manifest.json,manifest validates after restart and exact frozen bytes load without current authority reads
A-LEARN-01,Slowing exactly one of four independent learner processes to half rate changes each other learner common-interval throughput by at most two percent,All learners cross a barrier after every local step so one slowdown halves peer throughput,M=4 real FS role harness,shared ten-second interval local completed step counts host and distributed-state audit,control and one-learner slowdown trials on four distinct GPU hosts,runtime_runs/S1-12/formal-l2/analysis/profile-a-summary.json,slow learner ratio is 0.5 plus or minus 0.05 and every other absolute relative change is at most 0.02
A-LEARN-03,A real HF learner continues finite optimizer steps while its local fragment vector is mixed,Training blocks until all fragment versions align or loss becomes nonfinite,LearnerRuntime with FragmentAdoptionCoordinator,step loss version vector and safe-boundary adoption trace,at least five consecutive post-adoption mixed-version optimizer steps,runtime_runs/S1-12/formal-l2/analysis/profile-a-summary.json,all required mixed-version steps are consecutive finite and no version-alignment wait occurs
